1 6 11
1.141 92 2
1.141 93 2
1.141 94 2
1.141 95 2
1.141 96 2
1.141 97 2
1.224 98 2
1.345 99 2
2 104 3
2 105 3
2 106 3
2 107 3
2 108 3
2 109 3
2 110 3
2 111 3
2 112 3
2 113 3
2 114 3
2 115 3
2 116 3
2 117 3
2 118 3
2 119 3
2 120 3
2 121 3
79 242 211
79.9999 243 211
2.2 122 3
2.2 123 3
2.2 124 3
2.2 125 3
2.2 126 3
2.2 127 3
-1614 0 -8
-13 1 -8
-13 2 -8
-12 3 -8
-11 4 -8
-9 5 -8
2.3 134 3
2.3 135 3
2.3 136 3
2.3 137 3
2.3 138 3
2.3 139 3
2.3 140 3
2.34 141 3
2.34 142 3
2.34 143 3
2.34 144 3
2.34 145 3
2.34 146 3
2.34 147 3
2.34 148 3
2.345 149 3
2.345 150 3
2.345 151 3
2.345 152 3
2.345 153 3
2.345 154 3
2.345 155 3
2.345 156 3
2.345 157 3
3 163 3.1
3 164 3.1
3 165 3.1
3 166 3.1
3 167 3.1
3 168 3.1
3 169 3.1
3 170 3.1
3 171 3.1
3 172 3.1
3 173 3.1
3 174 3.1
3 175 3.1
3 176 3.1
3 177 3.1
3 178 3.1
3 179 3.1
3 180 3.1
3 181 3.1
3 182 3.1
3 183 3.1
3 184 3.1
3 185 3.1
3 186 3.1
3 187 3.1
3.1 191 4
3.1 192 4
3.1 193 4
3.1 194 4
3.1 195 4
3.1 196 4
3.1 197 4
3.12 198 4
3.2 199 4
3.2 200 4
3.2 201 4
3.2 202 4
3.2 203 4
3.2 204 4
3.2 205 4
3.2 206 4
3.2 207 4
3.2 208 4
3.2 209 4
3.2 210 4
3.2 211 4
3.2 212 4
3.2 213 4
3.2 214 4
-1 11 1e-05
1 73 1.1
1 74 1.1
1 75 1.1
1 76 1.1
1 77 1.1
1 78 1.1
1 79 1.1
1 80 1.1
1 81 1.1
1 82 1.1
1 83 1.1
1 84 1.1
1 85 1.1
1 86 1.1
1 87 1.1
1 88 1.1
1 89 1.1
1 90 1.1
1 91 1.1
1.1 98 1.12
1.1 99 1.12
1.1 100 1.12
1.1 101 1.12
1.1 102 1.12
1.1 103 1.12
1.12 120 1.141
1.12 121 1.141
1.12 122 1.141
1.12 123 1.141
1.12 124 1.141
1.12 125 1.141
1.12 126 1.141
1.12 127 1.141
1.12 128 1.141
1.12 129 1.141
1.12 130 1.141
1.12 131 1.141
1.12 132 1.141
1.12 133 1.141
1.12 134 1.141
1.12 135 1.141
3.3 257 4
3.3 258 4
3.3 259 4
3.3 260 4
3.3 261 4
3.3 262 4
3.33 263 4
3.34 264 4
3.4 265 4
3.4 266 4
3.4 267 4
3.4 268 4
3.4 269 4
3.4 270 4
3.4 271 4
0.0041 17 0.1
3.4 273 4
3.4 274 4
3.4 275 4
3.4 276 4
3.4 277 4
3.4 278 4
3.4 279 4
3.4 280 4
3.5 281 4
3.5 282 4
3.5 283 4
3.5 284 4
3.5 285 4
3.5 286 4
3.5 287 4
3.5 288 4
3.5 289 4
3.6 290 4
3.99 291 4
4 298 4.5
4 299 4.5
4 300 4.5
4 301 4.5
4 302 4.5
4 303 4.5
4 304 4.5
4 305 4.5
4 306 4.5
4 307 4.5
4 308 4.5
4 309 4.5
4 310 4.5
4 311 4.5
4 312 4.5
4 313 4.5
4 314 4.5
4 315 4.5
4 316 4.5
4 317 4.5
4 318 4.5
4 319 4.5
4 320 4.5
4 321 4.5
4 322 4.5
4 323 4.5
4.4 324 4.5
4.4 325 4.5
4.4 326 4.5
4.4 327 4.5
4.4 328 4.5
4.4 329 4.5
4.5 333 5
4.5 334 5
4.5 335 5
4.5 336 5
4.5 337 5
4.5 338 5
4.5 339 5
4.5 340 5
5 346 6
5 347 6
5 348 6
5 349 6
5 350 6
5 351 6
5 352 6
5 353 6
5 354 6
5 355 6
5 356 6
5 357 6
5 358 6
5 359 6
5 360 6
5 361 6
5 362 6
5 363 6
5 364 6
5 365 6
5 366 6
5 367 6
5 368 6
5 369 6
5 370 6
5 371 6
5 372 6
5.222 373 6
5.33 374 6
5.5 375 6
5.5 376 6
5.5 377 6
5.6 378 6
5.6 379 6
5.6 380 6
5.6 381 6
5.6 382 6
5.6 383 6
5.6 384 6
5.6 385 6
5.9 386 6
5.9 387 6
5.9 388 6
5.9 389 6
5.9 390 6
5.9 391 6
5.9 392 6
5.92 393 6
5.92 394 6
6 402 6.7
6.12 403 6.7
-1.1 10 -1
-1.1 11 -1
-1.1 12 -1
-1.1 13 -1
-1.1 14 -1
-1.1 15 -1
567 506 612
6.6 410 6.7
6.6 411 6.7
6.6 412 6.7
7 422 8
7 423 8
7 424 8
7 425 8
7 426 8
7.12 427 8
7.7 428 8
7.7 429 8
7.7 430 8
8 440 11
8 441 11
8 442 11
8 443 11
8 444 11
8 445 11
8.12 446 11
8.8 447 11
8.8 448 11
8.8 449 11
9 450 11
9 451 11
10 452 11
4 330 4.4
10.4 454 11
10 454 10.4
4 331 4.4
10.4 457 11
10 456 10.4
4 332 4.4
10.4 460 11
10 458 10.4
4 333 4.4
10.4 463 11
10 460 10.4
4 334 4.4
10.4 466 11
10 462 10.4
4 335 4.4
10.4 469 11
10 464 10.4
4 336 4.4
10.4 472 11
11 476 12
11 477 12
11 478 12
11 479 12
11 480 12
11 481 12
11 482 12
11 483 12
11 484 12
11 485 12
11 486 12
11 487 12
11 488 12
11 489 12
11 490 12
11 491 12
11 492 12
11.11 493 12
11.11 494 12
11.11 495 12
11.11 496 12
11.11 497 12
11.11 498 12
11.234 499 12
11.234 500 12
11.234 501 12
11.234 502 12
11.234 503 12
11.234 504 12
11.234 505 12
11.234 506 12
11.234 507 12
11.234 508 12
11.234 509 12
11.234 510 12
11.234 511 12
11.234 512 12
11.234 513 12
11.234 514 12
11.234 515 12
11.3 516 12
11.345 517 12
11.5 518 12
12 538 17
12 539 17
12 540 17
12 541 17
12 542 17
12 543 17
12 544 17
12 545 17
12.12 546 17
12.12 547 17
12.12 548 17
12.12 549 17
12.12 550 17
12.12 551 17
12.12 552 17
12.12 553 17
12.12 554 17
12.12 555 17
12.12 556 17
12.12 557 17
13 558 17
13 559 17
13 560 17
13 561 17
13 562 17
13 563 17
13 564 17
13 565 17
13 566 17
13 567 17
13 568 17
13 569 17
13 570 17
13 571 17
13 572 17
13 573 17
13 574 17
13 575 17
13 576 17
13 577 17
13 578 17
14 579 17
14 580 17
14 581 17
14 582 17
14 583 17
14 584 17
14 585 17
14 586 17
14 587 17
14 588 17
14 589 17
14 590 17
14 591 17
14 592 17
14 593 17
14 594 17
14 595 17
14 596 17
14 597 17
14 598 17
15 599 17
15 600 17
15 601 17
15 602 17
15 603 17
15 604 17
15 605 17
15 606 17
15 607 17
15 608 17
15 609 17
15 610 17
15 611 17
15 612 17
15 613 17
15 614 17
15 615 17
15 616 17
15 617 17
15 618 17
15 619 17
15 620 17
15 621 17
15 622 17
16 623 17
16 624 17
16 625 17
16 626 17
16 627 17
16 628 17
16 629 17
16 630 17
17 640 18
17 641 18
17 642 18
17 643 18
17 644 18
17 645 18
17 646 18
17 647 18
17 648 18
17 649 18
17 650 18
17 651 18
17 652 18
17 653 18
17 654 18
17 655 18
17 656 18
17 657 18
17 658 18
17 659 18
18 669 19
18 670 19
18 671 19
18 672 19
18 673 19
18 674 19
18 675 19
18 676 19
18 677 19
18 678 19
18 679 19
18 680 19
18 681 19
18 682 19
18 683 19
18 684 19
18 685 19
18 686 19
18 687 19
18 688 19
18 689 19
18 690 19
18 691 19
18 692 19
18 693 19
18 694 19
18 695 19
18 696 19
18 697 19
18 698 19
18 699 19
18 700 19
18 701 19
18 702 19
18 703 19
18 704 19
18 705 19
18 706 19
18 707 19
18 708 19
19 720 20
19 721 20
19 722 20
19 723 20
19 724 20
19 725 20
19 726 20
20 729 22
20 730 22
20 731 22
20 732 22
20 733 22
20 734 22
20 735 22
21 736 22
21 737 22
21 738 22
21 739 22
21 740 22
21 741 22
21 742 22
21.55 743 22
22 746 23
22 747 23
22 748 23
22.12 749 23
22.78 750 23
23 753 24
23 754 24
23 755 24
23 756 24
23 757 24
23 758 24
23 759 24
23 760 24
23 761 24
23 762 24
23 763 24
23 764 24
23 765 24
23 766 24
25 769 34
25 770 34
25 771 34
25 772 34
25 773 34
25 774 34
25 775 34
29 776 34
29 777 34
29 778 34
29 779 34
29 780 34
29 781 34
29 782 34
29 783 34
29 784 34
29 785 34
29 786 34
29 787 34
29 788 34
29 789 34
29 790 34
29 791 34
29 792 34
29 793 34
29 794 34
29 795 34
29 796 34
29 797 34
29 798 34
29 799 34
29 800 34
29 801 34
29 802 34
29 803 34
29 804 34
29 805 34
29 806 34
29 807 34
29 808 34
29 809 34
29 810 34
30.04 811 34
30.1 812 34
33 813 34
33 814 34
33 815 34
33 816 34
33 817 34
33 818 34
33 819 34
33 820 34
33.12 821 34
33.33 822 34
33.33 823 34
33.33 824 34
33.33 825 34
33.33 826 34
33.33 827 34
33.33 828 34
33.33 829 34
33.33 830 34
33.33 831 34
33.33 832 34
33.33 833 34
33.33 834 34
34 844 45
34 845 45
34 846 45
34 847 45
34 848 45
34 849 45
34 850 45
34 851 45
34 852 45
34 853 45
34 854 45
34 855 45
34.5 856 45
35 857 45
35 858 45
35 859 45
35 860 45
35 861 45
35 862 45
35 863 45
35 864 45
35 865 45
35 866 45
35 867 45
35 868 45
35 869 45
35 870 45
35 871 45
35 872 45
35 873 45
35 874 45
40 875 45
40 876 45
40 877 45
40 878 45
40 879 45
40 880 45
40 881 45
40 882 45
40 883 45
40 884 45
40 885 45
40 886 45
40 887 45
40 888 45
40 889 45
40 890 45
40 891 45
40 892 45
40 893 45
40 894 45
41 895 45
41 896 45
41 897 45
41 898 45
41 899 45
41 900 45
41 901 45
41 902 45
41 903 45
41 904 45
41 905 45
41 906 45
41 907 45
41 908 45
41 909 45
41 910 45
41 911 45
41 912 45
41 913 45
41 914 45
41 915 45
41 916 45
41 917 45
41 918 45
41 919 45
41 920 45
41 921 45
41 922 45
41 923 45
41 924 45
41.132 925 45
43 926 45
43 927 45
44 928 45
44 929 45
44 930 45
44 931 45
44 932 45
44 933 45
44 934 45
44.44 935 45
44.44 936 45
44.44 937 45
44.44 938 45
44.44 939 45
44.44 940 45
44.44 941 45
44.44 942 45
44.44 943 45
44.44 944 45
44.44 945 45
44.44 946 45
44.44 947 45
45 950 55
45 951 55
45 952 55
45 953 55
45 954 55
45 955 55
45 956 55
45 957 55
45 958 55
45 959 55
45 960 55
45 961 55
45.55 962 55
47 963 55
47 964 55
40 895 41
40 896 41
47 967 55
47 968 55
47 969 55
47 970 55
47 971 55
47 972 55
53 973 55
53 974 55
53 975 55
53 976 55
53 977 55
53 978 55
53 979 55
53 980 55
3.1 247 3.12
2.3 190 2.34
5.9 408 5.92
44 940 44.44
55 986 61
11 496 11.11
80 992 211
19 731 20
64 990 66
25 781 29
20 741 21
21 749 21.55
125 998 211
53 990 55
255 1002 344
53 991 55
114 1000 125
115 1001 125
533 1007 567
33 829 33.12
444 1008 533
444 1009 533
47 983 53
18 713 19
91 1003 114
11 497 11.11
2 177 2.2
1 99 1.1
2 179 2.2
3 241 3.1
4 343 4.4
5 393 5.222
3.1 253 3.12
2.3 194 2.34
5.9 417 5.92
44 958 44.44
55 1008 61
11 507 11.11
80 1016 91
19 744 20
64 1013 66
25 797 29
20 755 21
21 764 21.55
125 1026 211
53 1011 55
255 1031 344
53 1012 55
114 1026 115
115 1028 125
533 1039 567
33 846 33.12
444 1039 533
444 1040 533
47 1002 53
18 725 19
91 1028 114
11 508 11.11
2 180 2.2
1 100 1.1
2 182 2.2
3 246 3.1
4 350 4.4
5 401 5.222
66 1030 79
76 1031 79
12.12 580 13
11.11 521 11.234
33.33 871 34
44.44 989 45
55.55 1030 61
66.66 1036 76
77.77 1038 79
88.88 1043 91
99.99 1046 114
11.234 539 11.3
66 1037 66.66
76 1040 77.77
12.12 583 13
11.11 522 11.234
33.33 875 34
44.44 994 45
55.55 1036 61
66.66 1044 76
77.77 1048 79
88.88 1054 91
99.99 1058 114
11.234 541 11.3
1.1 113 1.12
2.2 190 2.3
3.3 284 3.33
4.4 360 4.5
1.1 114 1.12
2.2 192 2.3
3.3 287 3.33
4.4 364 4.5
5.5 415 5.6
6.6 447 6.7
7.7 466 8
8.8 486 9
9.9 489 10
77.12 1061 77.77
66.12 1057 66.66
11.5 558 12
5.33 412 5.5
33 876 33.12
444 1093 533
444 1094 533
47 1037 53
18 754 19
91 1078 99.99
11 529 11.11
2 185 2.2
1 101 1.1
2 187 2.2
3 254 3.1
4 361 4.4
5 415 5.222
201 1094 211
301 1099 344
76.1 1074 77.12
87.51 1082 88.88
34.5 923 35
56 1064 61
78 1080 79
89 1088 91
91 1092 99.99
29 872 30.04
29 873 30.04
3.99 320 4
90.1 1092 91
30.04 876 30.1
2.63 222 3
345 1114 444
56 1070 61
78 1087 79
89 1096 90.1
9.17 498 9.9
29 877 30.04
204 1113 211
501 1127 533
30.1 881 33
704 1133 761
87 1095 87.51
88 1097 88.88
71 1083 76
345 1125 444
56 1074 61
78 1093 79
89 1105 90.1
91 1111 99.99
29 878 30.04
3.1 268 3.12
2.3 205 2.34
5.9 444 5.92
44 1018 44.44
55 1075 55.55
11 542 11.11
80 1105 87
19 789 20
64 1086 66
25 845 29
20 801 21
21 811 21.55
125 1133 201
53 1077 55
255 1141 301
53 1078 55
114 1131 115
115 1134 125
533 1158 567
33 902 33.12
444 1156 501
444 1157 501
47 1066 53
18 769 19
9.17 502 9.9
11 544 11.11
2 188 2.2
1 102 1.1
2 190 2.2
3 260 3.1
4 370 4.4
5 425 5.222
201 1150 204
301 1158 344
345 1162 444
56 1099 61
78 1120 79
89 1134 90.1
91 1141 99.99
29 896 30.04
29 897 30.04
399 1169 444
5.123 426 5.222
345 1170 399
56 1103 61
78 1125 79
89 1140 90.1
91 1148 99.99
29 899 30.04
345 1176 399
56 1105 61
78 1128 79
89 1144 90.1
9.17 510 9.9
29 901 30.04
3.1 274 3.12
2.3 209 2.34
5.9 454 5.92
44 1043 44.44
55 1104 55.55
11 556 11.11
80 1142 87
19 805 20
64 1119 66
25 864 29
20 818 21
21 829 21.55
125 1178 201
53 1105 55
255 1188 301
53 1106 55
114 1174 115
115 1178 125
533 1213 567
33 926 33.12
444 1210 501
444 1211 501
47 1092 53
18 784 19
9.17 514 9.9
11 558 11.11
2 191 2.2
1 103 1.1
2 193 2.2
3 265 3.1
4 377 4.4
5 433 5.123
201 1196 204
301 1206 344
5.123 435 5.222
345 1214 399
56 1132 61
78 1157 79
89 1175 90.1
9.12 518 9.17
29 921 30.04
29 922 30.04
399 1222 444
345 1221 399
56 1136 61
78 1162 79
89 1181 90.1
91 1190 99.99
29 923 30.04
114 1198 115
115 1203 125
533 1246 567
33 941 33.12
444.09 1242 501
444 1242 444.09
47 1108 53
18 795 19
9.12 519 9.17
11 568 11.11
2 194 2.2
1 104 1.1
2 196 2.2
3 269 3.1
4 382 4.4
5 439 5.123
201 1222 204
301 1233 344
345 1242 399
56 1149 61
78 1176 79
89 1196 90.1
5.92 470 6
29 934 30.04
29 935 30.04
399 1251 444
345 1249 399
56 1153 61
78 1181 79
89 1202 90.1
91 1212 99.99
29 936 30.04
204 1235 211
501 1272 533
301 1246 344
704 1282 761
87 1190 87.51
88 1193 88.88
71 1167 76
345 1260 399
56 1155 61
78 1185 79
89 1209 90.1
91 1220 99.99
29 937 30.04
3.1 284 3.12
2.3 216 2.34
5.9 470 5.92
44 1082 44.44
55 1148 55.55
11 579 11.11
80 1199 87
19 831 20
64 1169 66
25 893 29
20 845 21
21 857 21.55
125 1250 201
53 1148 55
255 1264 301
53 1149 55
114 1243 115
115 1249 125
533 1306 567
33 964 33.12
444.09 1300 501
444 1299 444.09
47 1133 53
18 809 19
5.92 474 6
11 581 11.11
2 197 2.2
1 105 1.1
2 199 2.2
3 274 3.1
4 389 4.4
5 447 5.123
201 1270 204
301 1285 344
345 1297 399
56 1180 61
78 1212 79
89 1238 90.1
91 1250 99.99
29 955 30.04
29 956 30.04
399 1307 444
345 1304 399
56 1183 61
78 1216 79
89 1243 90.1
91 1256 99.99
29 957 30.04
345 1310 399
56 1185 61
78 1219 79
89 1247 90.1
91 1261 99.99
29 958 30.04
3.1 290 3.12
2.3 220 2.34
5.9 479 5.92
44 1105 44.44
55 1175 55.55
11 591 11.11
80 1234 87
19 845 20
64 1200 66
25 910 29
20 860 21
21 873 21.55
125 1294 201
53 1174 55
255 1310 301
53 1175 55
114 1285 115
115 1292 125
533 1360 567
33 986 33.12
444.09 1353 501
444 1351 444.09
47 1157 53
18 822 19
91 1280 99.99
11 592 11.11
2 200 2.2
1 106 1.1
2 202 2.2
3 279 3.1
4 396 4.4
5 455 5.123
201 1315 204
301 1332 344
345 1347 399
56 1209 61
78 1245 79
89 1275 90.1
91 1291 99.99
29 975 30.04
29 976 30.04
399 1358 444
345 1354 399
56 1212 61
78 1249 79
89 1280 90.1
91 1297 99.99
29 977 30.04
204 1329 211
501 1384 533
301 1345 344
87 1261 87.51
88 1265 88.88
71 1229 76
345 1365 399
56 1214 61
78 1253 79
89 1287 90.1
91 1305 99.99
29 978 30.04
3.1 296 3.12
2.3 224 2.34
5.9 488 5.92
44 1127 44.44
55 1201 55.55
11 602 11.11
80 1269 87
19 858 20
64 1230 66
25 926 29
20 874 21
21 888 21.55
123 1335 125
23 913 24
23 914 24
4 399 4.4
5 459 5.123
5 460 5.123
6 504 6.12
7 524 7.12
8 545 8.12
9 553 9.12
1 107 1.1
2 204 2.2
1 108 1.1
2 206 2.2
3 285 3.1
4 405 4.4
5 467 5.123
11 617 11.11
43 1136 44
45 1180 45.55
67 1259 71
123 1356 125
45 1181 45.55
11.234 645 11.3
22 911 22.12
333 1391 344
234 1377 255
23 932 24
23 933 24
34 1065 34.5
45 1187 45.55
161 1370 201
67 1267 71
123 1365 125
45 1188 45.55
156 1373 161
11.234 646 11.3
22 913 22.12
234 1389 255
23 936 24
23 937 24
34 1070 34.5
45 1194 45.55
21 906 21.55
11 618 11.11
6 512 6.12
6 513 6.12
1 109 1.1
2 208 2.2
3 288 3.1
5 471 5.123
1 110 1.1
2 210 2.2
3 291 3.1
5 475 5.123
1 111 1.1
2 212 2.2
3 294 3.1
5 479 5.123
7 546 7.12
8 568 8.12
11 635 11.11
4 415 4.4
4 416 4.4
4 417 4.4
4 418 4.4
4 419 4.4
4 420 4.4
4 421 4.4
4 422 4.4
4 423 4.4
1 112 1.1
2 214 2.2
3 297 3.1
5 492 5.123
101 1388 114
58 1291 61
60 1292 61
41.132 1176 43
110 1392 114
11.234 678 11.3
11.234 679 11.3
23 972 24
23 973 24
34 1107 34.5
45 1233 45.55
11 649 11.11
43 1186 44
45 1236 45.55
67 1319 71
83 1355 87
11.234 681 11.3
22 950 22.12
23 977 24
23 978 24
34 1113 34.5
45 1242 45.55
88 1369 88.88
3 298 3.1
4 428 4.4
5 495 5.123
1 113 1.1
9 594 9.12
4 430 4.4
5 498 5.123
3 300 3.1
34 1122 34.5
12 721 12.12
88 1380 88.88
3 301 3.1
4 433 4.4
5 502 5.123
1 114 1.1
9 602 9.12
4 435 4.4
5 505 5.123
3 303 3.1
34 1132 34.5
12 730 12.12
3.4 363 3.5
4.5 457 5
5.6 526 5.9
3.4 364 3.5
4.5 459 5
5.6 529 5.9
17 853 18
23 1004 24
45 1271 45.55
16 824 17
16 825 17
56 1338 58
56 1339 58
56 1340 58
78 1386 79
29 1081 30.04
21 969 21.55
11 672 11.11
6 559 6.12
6 560 6.12
1 115 1.1
2 218 2.2
3 306 3.1
5 514 5.123
1 116 1.1
2 220 2.2
3 309 3.1
5 518 5.123
1 117 1.1
2 222 2.2
3 312 3.1
5 522 5.123
7 594 7.12
8 617 8.12
11 689 11.11
4 448 4.4
4 449 4.4
4 450 4.4
4 451 4.4
4 452 4.4
4 453 4.4
4 454 4.4
4 455 4.4
4 456 4.4
1 118 1.1
2 224 2.2
3 315 3.1
5 535 5.123
66 1387 66.12
12.12 782 13
11.11 711 11.234
33.33 1152 34
44.44 1287 45
55.55 1358 56
11.234 736 11.3
56 1380 58
29 1117 30.04
21 1004 21.55
11 703 11.11
6 586 6.12
6 587 6.12
1 119 1.1
2 226 2.2
3 318 3.1
5 539 5.123
1 120 1.1
2 228 2.2
3 321 3.1
5 543 5.123
1 121 1.1
2 230 2.2
3 324 3.1
5 547 5.123
7 622 7.12
8 646 8.12
11 720 11.11
4 469 4.4
4 470 4.4
4 471 4.4
4 472 4.4
4 473 4.4
4 474 4.4
4 475 4.4
4 476 4.4
4 477 4.4
1 122 1.1
2 232 2.2
3 327 3.1
5 560 5.123
29 1150 30.04
29 1151 30.04
2.63 273 3
29 1153 30.04
21 1037 21.55
11 735 11.11
6 614 6.12
6 615 6.12
1 123 1.1
2 234 2.2
3 331 3.1
5 565 5.123
1 124 1.1
2 236 2.2
3 334 3.1
5 569 5.123
1 125 1.1
2 238 2.2
3 337 3.1
5 573 5.123
7 651 7.12
8 676 8.12
11 752 11.11
4 491 4.4
4 492 4.4
4 493 4.4
4 494 4.4
4 495 4.4
4 496 4.4
4 497 4.4
4 498 4.4
4 499 4.4
1 126 1.1
2 240 2.2
3 340 3.1
5 586 5.123
12.12 848 13
11.11 775 11.234
33.33 1225 34
44.44 1361 45
11.234 801 11.3
11.234 802 11.3
1 127 1.1
7.12 667 7.7
6.12 643 6.6
11.11 779 11.234
33.33 1232 34
44.44 1369 45
11.234 807 11.3
5.222 591 5.33
12.12 858 13
11.11 781 11.234
33.33 1237 34
44.44 1375 45
11.234 810 11.3
1.224 185 1.345
1.141 184 1.224
11.234 813 11.3
12.12 864 13
11.11 784 11.234
33.33 1244 34
44.44 1383 45
11.234 815 11.3
12.12 867 13
11.11 785 11.234
33.33 1248 34
44.44 1388 45
11.234 817 11.3
1.1 142 1.12
2.2 253 2.3
3.3 388 3.33
4.4 517 4.5
1.1 143 1.12
2.2 255 2.3
3.3 391 3.33
4.4 521 4.5
5.5 608 5.6
6.6 660 6.7
7.7 686 8
8.8 712 9
9.9 725 10
22.12 1114 22.78
8.12 708 8.8
3 348 3.1
4 513 4.4
5 600 5.123
1 128 1.1
9 723 9.12
4 515 4.4
5 603 5.123
3 350 3.1
34 1300 34.5
12 873 12.12
3 351 3.1
4 518 4.4
5 607 5.123
1 129 1.1
9 731 9.12
4 520 4.4
5 610 5.123
3 353 3.1
34 1310 34.5
12 882 12.12
3.4 417 3.5
4.5 546 5
5.6 635 5.9
3.4 418 3.5
4.5 548 5
5.6 638 5.9
17 1013 18
23 1169 24
16 983 17
16 984 17
29 1251 30.04
12.12 908 13
11.11 822 11.234
33.33 1296 34
11.234 855 11.3
29 1255 30.04
29 1256 30.04
29 1257 30.04
29 1258 30.04
12.12 911 13
11.11 823 11.234
33.33 1304 34
11.234 857 11.3
12.12 914 13
11.11 824 11.234
33.33 1308 34
11.234 859 11.3
3 354 3.1
4 525 4.4
5 618 5.123
1 130 1.1
9 745 9.12
4 527 4.4
5 621 5.123
3 356 3.1
34 1347 34.5
12 903 12.12
3 357 3.1
4 530 4.4
5 625 5.123
1 131 1.1
9 753 9.12
4 532 4.4
5 628 5.123
3 359 3.1
34 1357 34.5
12 912 12.12
3.4 425 3.5
4.5 560 5
5.6 655 5.9
3.4 426 3.5
4.5 562 5
5.6 658 5.9
17 1049 18
23 1206 24
16 1018 17
16 1019 17
29 1293 30.04
12.12 941 13
11.11 847 11.234
33.33 1341 34
11.234 883 11.3
11.11 848 11.234
11.11 849 11.234
11.11 850 11.234
11.11 851 11.234
11.11 852 11.234
11.11 853 11.234
11.11 854 11.234
11.234 891 11.3
11.234 892 11.3
11.234 893 11.3
21 1181 21.55
11 830 11.11
6 694 6.12
6 695 6.12
1 132 1.1
2 251 2.2
3 362 3.1
5 637 5.123
1 133 1.1
2 253 2.2
3 365 3.1
5 641 5.123
1 134 1.1
2 255 2.2
3 368 3.1
5 645 5.123
7 734 7.12
8 762 8.12
11 847 11.11
4 545 4.4
4 546 4.4
4 547 4.4
4 548 4.4
4 549 4.4
4 550 4.4
4 551 4.4
4 552 4.4
4 553 4.4
1 135 1.1
2 257 2.2
3 371 3.1
5 658 5.123
21 1213 21.55
11 861 11.11
6 721 6.12
6 722 6.12
1 136 1.1
2 259 2.2
3 374 3.1
5 662 5.123
1 137 1.1
2 261 2.2
3 377 3.1
5 666 5.123
1 138 1.1
2 263 2.2
3 380 3.1
5 670 5.123
7 762 7.12
8 791 8.12
11 878 11.11
4 566 4.4
4 567 4.4
4 568 4.4
4 569 4.4
4 570 4.4
4 571 4.4
4 572 4.4
4 573 4.4
4 574 4.4
1 139 1.1
2 265 2.2
3 383 3.1
5 683 5.123
2.3 290 2.34
-23 1 -13
-45 1 -23
1.01 142 1.1
21 1249 21.55
11 896 11.11
6 752 6.12
6 753 6.12
1 142 1.01
2 270 2.2
3 390 3.1
5 691 5.123
1 143 1.01
2 272 2.2
3 393 3.1
5 695 5.123
1 144 1.01
2 274 2.2
